Index,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
11090,154,ACTIVE,PRECISION,LIMO,2019,AQUA,Pedal,N,SECOND CITY TUK TUKS LLC,61 W. 15TH ST.,CHICAGO,IL,60605,,,154Pedicab
11414,116,ACTIVE,SCHWINN,NONE,2014,GREEN,Pedal,N,BM PEDICAB INC.,4450 N. KEDZIE AVE.,CHICAGO,IL,60625,,,116Pedicab
11469,44,ACTIVE,MANMADE,NONE,2016,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656,,,44Pedicab
11694,105,VIOLATION,CUSTOM,CSM STYLE,2018,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608,,,105Pedicab
11735,51,ACTIVE,SCHWINN,NONE,2014,GREEN,Pedal,N,BM PEDICAB INC.,4450 N. KEDZIE AVE.,CHICAGO,IL,60625,,,51Pedicab
11761,174,ACTIVE,MANMADE,CLASSIC,2018,BLACK,Pedal,N,CHICAGO GREEN BIKE LLC,1919 S. MICHIGAN AVE.,CHICAGO,IL,60616,,,174Pedicab
11844,81,VIOLATION,MAINSTREET,CLASSIC,0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606,,,81Pedicab
11853,119,ACTIVE,MANMADE,NONE,2017,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656,,,119Pedicab
11925,82,VIOLATION,MAINSTREET,CLASSIC,0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606,,,82Pedicab
12105,17,VIOLATION,VIP,5 SEATER,2014,RED,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608,,,17Pedicab
12141,138,ACTIVE,VIP,SAN DIEGO,2014,BLUE,Pedal,N,MICHAEL ANGELO SALAS,939 W. 33RD PL.,CHICAGO,IL,60608,,,138Pedicab
12250,12,INACTIVE,MAINSTREET,BROADWAY,2012,BLUE/BLACK,Pedal,N,CITY OF CHICAGO BACP,,,,,,,12Pedicab
12253,180,INACTIVE,MAINSTREET,CLASSIC,2009,GOLD,Pedal,N,CITY OF CHICAGO BACP,,,,,,,180Pedicab
12267,51,ACTIVE,SCHWINN,NONE,2014,GREEN,Pedal,N,BM PEDICAB INC.,4450 N. KEDZIE AVE.,CHICAGO,IL,60625,,,51Pedicab
12701,30,VIOLATION,CUSTOM,CSM STYLE,2018,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608,,,30Pedicab
12744,7,ACTIVE,PRECISION,NONE,2019,SILVER,Pedal,N,SECOND CITY TUK TUKS LLC,61 W. 15TH ST.,CHICAGO,IL,60605,,,7Pedicab
12812,133,ACTIVE,MANMADE,NONE,2015,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656,,,133Pedicab
12826,96,ACTIVE,VIP,VIP,2021,WHITE,Pedal,N,CHICAGO PEDICAB LLC,1015 N. HALSTED ST.,CHICAGO,IL,60642,,,96Pedicab
12832,101,ACTIVE,VIP,VIP,2023,BLUE,Pedal,N,CHICAGO PEDICAB LLC,1015 N. HALSTED ST.,CHICAGO,IL,60642,,,101Pedicab
12934,121,ACTIVE,MANMADE,NONE,2017,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656,,,121Pedicab
12941,153,ACTIVE,VIP,FACE TO FACE,2015,TEAL,Pedal,N,JBL PEDICAB MANAGEMENT LLC,1627 N. TRIPP AVE.,CHICAGO,IL,60639,,,153Pedicab
12967,152,ACTIVE,VIP,CLASSIC,2014,GREEN,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616,,,152Pedicab
12994,171,ACTIVE,MANMADE,CLASSIC,2018,BLACK,Pedal,N,CHICAGO GREEN BIKE LLC,1919 S. MICHIGAN AVE.,CHICAGO,IL,60616,,,171Pedicab
13160,39,ACTIVE,PRECISION,6 SEATER,2018,FUSCIA,Pedal,N,JBL PEDICAB MANAGEMENT LLC,1627 N. TRIPP AVE.,CHICAGO,IL,60639,,,39Pedicab
13467,19,ACTIVE,VIP,VIP,2014,BLUE/WHITE,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616,,,19Pedicab
13480,179,ACTIVE,CUSTOM,NONE,2015,WHITE/BLUE,Pedal,N,NENAD MICIN,3705 N. KEDZIE AVE.,CHICAGO,IL,60618,,,179Pedicab
13554,16,ACTIVE,PRECISION,EXCURSION,2019,ORANGE,Pedal,N,CHICAGO PEDICAB COMPANY LLC,939 W. 33RD PL.,CHICAGO,IL,60608,,,16Pedicab
