Index,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
14405,17802,INACTIVE,THOMAS,TROLLEY,2005,GREEN,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630,,,17802Charter Sightseeing
14612,7224,ACTIVE,CADILLAC,ESCALADE ESV,2024,BLACK,Diesel,N,FRARS INC,2500 W. BIRCHWOOD AVE.,CHICAGO,IL,60645,,,7224Livery
14692,1000010,INACTIVE,FREIGHLINE,X LINE SHUTTLE,2000,GREEN,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630,,,1000010Charter Sightseeing
15157,16904,INACTIVE,SPEC-CONSTED,TROLLEY,2014,RED,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630,,,16904Charter Sightseeing
15250,16776,INACTIVE,ALEXANDER DENNIS LTD,ENVIRO 400,2013,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609,,,16776Charter Sightseeing
15332,17870,INACTIVE,LEYLAND,OLYMPIAN,1988,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609,,,17870Charter Sightseeing
15414,10714,INACTIVE,FREIGHTLINER,GLAVAL LEGACY,2015,BLACK,Diesel,N,JKS LIMOUSINES LLC.,120 W. MADISON ST.,CHICAGO,IL,60602,,,10714Charter Sightseeing
15669,4882,ACTIVE,MERCEDES,SPRINTER,2012,RED/WHITE,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,4882Ambulance
15790,16002,INACTIVE,THOMAS,TROLLEY,2005,GREEN,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630,,,16002Charter Sightseeing
15914,1000007,INACTIVE,CHAMPION,TROLLEY,1999,RED,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630,,,1000007Charter Sightseeing
15960,7848,ACTIVE,CHEVROLET,SUBURBAN,2024,BLACK,Diesel,N,NURIA ENTERPRISE INC,2643 W. PRATT BLVD.,CHICAGO,IL,60645,,,7848Livery
16210,16903,INACTIVE,FREIGHTLINER,TROLLEY,1999,RED,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630,,,16903Charter Sightseeing
16212,16785,RESERVED,ALEXANDER DENNIS LTD,ENVIRO 400,2013,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609,,,16785Charter Sightseeing
16365,17765,INACTIVE,LEYLAND,OLYMPIAN,1988,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609,,,17765Charter Sightseeing
16396,20604,RESERVED,GILLIG,TRANSIT,2015,MAROON,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609,,,20604Charter Sightseeing
16414,1000003,INACTIVE,CHAMPION,TROLLEY,1993,ORANGE,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630,,,1000003Charter Sightseeing
16417,1000008,INACTIVE,ISUZU,CARRYALL,1986,MAROON,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630,,,1000008Charter Sightseeing
